Client,Silo #,LocationName,H1,H2,H3,Diametre,Angle (degré),Offset du device,Max D in the device,R1 (top cone),R2 (bas du cone),ConeHeight,Volume du cone,hauteur du cyclindre,Volume du cyclindre,Volume total,nouveau R1,valeur de sensor,Distance totale,Volume (hectolitre) ,% de la bin,,,densité de moulé (kg/hl),moulée en KG
Novago Avicole,A,Avinor-1483A,1.000,2.806,9.641,2.740,30.00,0.335,8.306,1.37,0.33,1.81,4.60,6.84,40.30,44.903,0.00,5.340,5.675,114.402,25.48%,134.16,29.88%,53.00,6 063
Novago Avicole,B,Avinor-1483B,1.000,2.806,9.641,2.740,30.00,0.335,8.31,1.37,0.33,1.81,4.60,6.84,40.30,44.903,0.00,6.000,6.335,75.485,16.81%,95.24,21.21%,65.00,4 907
Novago Avicole,A,Avinor-1484A,1.000,2.806,9.641,2.740,30.00,0.335,8.31,1.37,0.33,1.81,4.60,6.84,40.30,44.903,0.00,4.000,4.335,193.415,43.07%,213.17,47.47%,65.00,12 572
Novago Avicole,B,Avinor-1484B,1.000,2.806,9.641,2.740,30.00,0.335,8.31,1.37,0.33,1.81,4.60,6.84,40.30,44.903,0.61,7.820,8.155,3.439,0.77%,16.14,3.59%,65.00,224
Novago Avicole,A,Avinor-1485A,0.883,2.885,8.782,2.740,30.00,0.335,7.56,1.37,0.21,2.00,4.65,5.90,34.77,39.418,0.00,4.000,4.335,138.564,35.15%,158.32,40.16%,65.00,9 007
Novago Avicole,B,Avinor-1485B,0.883,2.885,8.782,2.740,30.00,0.335,7.56,1.37,0.21,2.00,4.65,5.90,34.77,39.418,1.32,5.640,5.975,42.011,10.66%,61.61,15.63%,65.00,2 731
Novago Avicole,A,Avinor-1486A,0.883,2.885,8.782,2.740,30.00,0.335,7.56,1.37,0.21,2.00,4.65,5.90,34.77,39.418,0.00,5.460,5.795,52.475,13.31%,,,65.00,3 411
Novago Avicole,B,Avinor-1486B,0.883,2.885,8.782,2.740,30.00,0.335,7.56,1.37,0.21,2.00,4.65,5.90,34.77,39.418,0.00,4.000,4.335,138.564,35.15%,,,65.00,9 007
Novago Avicole,A,Avinor-1489A,1.000,2.970,9.483,2.740,30.00,0.335,8.15,1.37,0.23,1.97,4.64,6.51,38.40,43.045,0.00,4.000,4.335,174.836,40.62%,,,65.00,11 364
Novago Avicole,B,Avinor-1489B,1.000,2.800,7.225,2.740,30.00,0.335,5.89,1.37,0.33,1.80,4.60,4.43,26.09,30.690,0.00,4.000,4.335,51.290,16.71%,,,65.00,3 334
Novago - Ruminant,2,Fanico-001,0.744,2.547,7.360,2.058,29.00,0.462,6.15,1.03,0.03,1.80,2.06,4.81,16.01,18.069,0.00,2.000,2.462,98.788,54.67%,,,65.00,6 421
Novago - Ruminant,2,Germec-001,0.567,2.454,6.549,2.553,29.00,0.335,5.65,1.28,0.23,1.89,3.91,4.10,20.96,24.869,0.00,3.000,3.335,77.969,31.35%,,,65.00,5 068
Novago - Ruminant,1,Germec-002,0.617,1.728,5.438,1.797,30.00,0.335,4.49,0.90,0.26,1.11,1.28,3.71,9.41,10.694,0.00,3.080,3.415,20.330,19.01%,,,65.00,1 321
Novago - Ruminant,10,Jacobs-001,0.686,2.581,8.397,2.532,29.00,0.462,7.25,1.27,0.22,1.90,3.81,5.82,29.28,33.099,0.00,4.000,4.462,106.321,32.12%,,,65.00,6 911
Novago - Ruminant,11,Jacobs-002,0.713,2.246,7.600,1.931,22.00,0.462,6.43,0.97,0.35,1.53,2.23,5.35,15.68,17.905,0.00,4.000,4.462,48.376,27.02%,,,65.00,3 144
Novago - Ruminant,2,Lafontaine-001,0.564,2.560,6.415,2.101,22.50,0.335,5.52,1.05,0.22,2.00,2.90,3.86,13.36,16.267,0.85,4.000,4.335,15.335,9.43%,,,65.00,997
Novago - Ruminant,1,Rodrigue-001,0.508,3.008,6.572,1.940,17.62,0.462,5.60,0.97,0.18,2.50,2.99,3.56,10.54,13.527,0.68,4.000,4.462,10.409,7.69%,,,65.00,677
Novago - Ruminant,1,Pittet-001,0.508,3.279,7.456,1.942,15.81,0.462,6.49,0.97,0.19,2.77,3.36,4.18,12.37,15.737,0.89,4.000,4.462,25.872,16.44%,,,65.00,1 682
CDPQ,1,CDPQA-001,0.838,2.616,4.640,1.930,22.00,0.335,3.47,0.97,0.44,1.78,2.90,2.02,5.92,8.824,0.23,4.000,4.335,-1.965,-2.23%,,,65.00,-128
CDPQ,2,CDPQA-002,0.838,2.616,5.232,1.930,22.00,0.335,4.06,0.97,0.44,1.78,2.90,2.62,7.66,10.558,1.05,2.556,2.891,27.886,26.41%,,,65.00,1 813
CDPQ,3,CDPQA-003,0.838,2.616,5.232,1.930,22.00,0.335,4.06,0.97,0.44,1.78,2.90,2.62,7.66,10.558,1.05,2.556,2.891,27.886,26.41%,,,65.00,1 813
CDPQ,4,CDPQA-004,0.838,2.616,5.232,1.930,22.00,0.335,4.06,0.97,0.44,1.78,2.90,2.62,7.66,10.558,1.05,2.556,2.891,27.886,26.41%,,,65.00,1 813
CDPQ,5,CDPQA-005,0.838,2.616,5.232,1.930,22.00,0.335,4.06,0.97,0.44,1.78,2.90,2.62,7.66,10.558,1.05,2.556,2.891,27.886,26.41%,,,65.00,1 813
CDPQ,20,CDPQA-020,0.838,2.616,6.147,2.540,30.00,0.335,4.97,1.27,0.44,1.78,4.42,3.53,17.89,22.312,0.00,2.556,2.891,76.629,34.34%,,,65.00,4 981
CDPQ,21,CDPQA-021,0.838,2.616,6.147,2.540,30.00,0.335,4.97,1.27,0.44,1.78,4.42,3.53,17.89,22.312,0.00,2.556,2.891,76.629,34.34%,,,65.00,4 981
CDPQ,22,CDPQA-022,0.838,2.616,5.232,1.930,22.00,0.335,4.06,0.97,0.44,1.78,2.90,2.62,7.66,10.558,1.05,2.556,2.891,27.886,26.41%,,,65.00,1 813
CDPQ,23,CDPQA-023,0.838,2.616,5.232,1.930,22.00,0.335,4.06,0.97,0.44,1.78,2.90,2.62,7.66,10.558,1.05,2.556,2.891,27.886,26.41%,,,65.00,1 813
CDPQ,24,CDPQA-024,0.838,2.616,6.147,2.540,30.00,0.335,4.97,1.27,0.44,1.78,4.42,3.53,17.89,22.312,0.00,2.556,2.891,76.629,34.34%,,,65.00,4 981
CDPQ,25,CDPQA-025,0.838,2.616,5.232,1.930,22.00,0.335,4.06,0.97,0.44,1.78,2.90,2.62,7.66,10.558,1.05,2.556,2.891,27.886,26.41%,,,65.00,1 813
CDPQ,26,CDPQA-026,0.838,2.616,5.232,1.930,22.00,0.335,4.06,0.97,0.44,1.78,2.90,2.62,7.66,10.558,1.05,2.556,2.891,27.886,26.41%,,,65.00,1 813
CDPQ,27,CDPQA-027,0.838,2.616,6.147,2.540,30.00,0.335,4.97,1.27,0.44,1.78,4.42,3.53,17.89,22.312,0.00,2.556,2.891,76.629,34.34%,,,65.00,4 981
CDPQ,28,CDPQA-028,0.838,2.616,5.232,1.930,22.00,0.335,4.06,0.97,0.44,1.78,2.90,2.62,7.66,10.558,1.05,2.556,2.891,27.886,26.41%,,,65.00,1 813
CDPQ,29,CDPQA-029,0.838,2.616,5.232,1.930,22.00,0.335,4.06,0.97,0.44,1.78,2.90,2.62,7.66,10.558,1.05,2.556,2.891,27.886,26.41%,,,65.00,1 813
CDPQ,30,CDPQA-030,0.838,2.616,7.671,1.930,22.00,0.335,6.50,0.97,0.44,1.78,2.90,5.05,14.79,17.695,0.00,2.556,2.891,92.336,52.18%,,,65.00,6 002
CDPQ,31,CDPQA-031,0.838,2.616,7.671,1.930,22.00,0.335,6.50,0.97,0.44,1.78,2.90,5.05,14.79,17.695,0.00,2.556,2.891,92.336,52.18%,,,65.00,6 002
CDPQ,32,CDPQA-032,0.838,2.616,7.671,1.930,22.00,0.335,6.50,0.97,0.44,1.78,2.90,5.05,14.79,17.695,0.00,2.556,2.891,92.336,52.18%,,,65.00,6 002
CDPQ,33,CDPQA-033,0.838,2.616,5.232,1.930,22.00,0.335,4.06,0.97,0.44,1.78,2.90,2.62,7.66,10.558,1.05,2.556,2.891,27.886,26.41%,,,65.00,1 813
CDPQ,40,CDPQA-040,0.838,2.616,4.640,1.930,22.00,0.335,3.47,0.97,0.44,1.78,2.90,2.02,5.92,8.824,0.00,0.000,0.335,78.440,88.89%,,,65.00,5 099
CDPQ,41,CDPQA-041,0.838,2.616,4.640,1.930,22.00,0.335,3.47,0.97,0.44,1.78,2.90,2.02,5.92,8.824,0.81,2.556,2.891,11.625,13.17%,,,65.00,756
